Proc,OS,Shell,Sys,Opt.,Script,Run-time,,iters,
I7 2-core 3.3 GHz,MacOS 11.2.3,bash 3.2.57,mbp 2016,None,cpu-benchmark-test,507,,100000,
M1,MacOS 26.1,bash 3.2.57,mbp,None,cpu-benchmark-test,511,,100000,
M1,MacOS 15.7.3,bash 3.2.57,macmini,None,cpu-benchmark-test,395,3rd fastest,100000,
M1,MacOS 15.7.3,bash 5.3.3,macmini,None,cpu-benchmark-test,428,,100000,
M1 Max,MacOS 26.1,bash 3.2.57,mbp,None,cpu-benchmark-test,511,,100000,
M5,MacOS 26.1,bash 3.2.57,mbp,None,cpu-benchmark-test,291/575*,2nd fastest,100000,* on battery
M5,Ubuntu 25.10 (ARM),bash 5.2.37,VMWare Fusion 13.6.4,None,cpu-benchmark-test,114,1st fastest,100000,
i7-9700T,Ubuntu 24.04 (AMD),bash 5.2.21,Optiplex,None,cpu-benchmark-test,1191,,100000,
BCM2712,Debian GNU/Linux 12 (bookworm),bash 5.2.15,Pi5,None,cpu-benchmark-test,440,,100000,
BCM2711,Debian GNU/Linux 11 (bullseye),bash 5.1.4,Pi4,None,cpu-benchmark-test,1421,,100000,
,,,,,,,,,
M1 Max,MacOS 26.1,bash 3.2.57,mbp,"No seq, fixed bc",cpu-benchmark-test-3,220,,100000,
,,,,,,,,,
I7 2-core 3.3 GHz,MacOS 11.2.3,zsh 5.8,mbp 2016,None,cpu-benchmark-test-zsh,337,,100000,
M1,MacOS 26.1,zsh 5.9,mbp,None,cpu-benchmark-test-zsh,378,,100000,
M1,MacOS 15.7.3,zsh 5.9,macmini,None,cpu-benchmark-zsh,251,,100000,
M1 Max,MacOS 26.1,zsh 5.9,mbp,None,cpu-benchmark-zsh,378,,100000,
M5,MacOS 26.1,zsh 5.9,mbp,None,cpu-benchmark-test-zsh,162/326*,2nd fastest,100000,
M5,Ubuntu 25.10 (ARM),zsh 5.9,VMWare Fusion 13.6.4,None,cpu-benchmark-test-zsh,71,1st fastest,100000,
i7-9700T,Ubuntu 24.04 (AMD),zsh 5.9,Optiplex,None,cpu-benchmark-test-zsh,747,,100000,
BCM2712,Debian (ARM) GNU/Linux 12,zsh 5.9,Pi5,None,cpu-benchmark-test-zsh,238,3rd fastest,100000,
,Debian GNU/Linux 11 (bullseye),zsh 5.8,Pi4,None,cpu-benchmark-test-zsh,829,,100000,
,,,,,,,,,
I7 2-core 3.3 GHz,MacOS 11.2.3,zsh 5.8,mbp 2016,No seq,cpu-benchmark-test-zsh2,91,,500000,
M1,??????,??????,??????,??????,??????,??????,,500000,
M1,MacOS 15.7.3,zsh 5.9,mbp,No seq,cpu-benchmark-test-zsh2,39,3rd fastest,500000,
M1 max,MacOS 26.1,zsh 5.9,mbp,No seq,cpu-benchmark-test-zsh2,41,,500000,
M5,MacOS 26.1,zsh 5.9,mbp,No seq,cpu-benchmark-test-zsh2,24/50*,2nd fastest,500000,
M5,Ubuntu 25.10 (ARM),zsh 5.9,VMWare Fusion 13.6.4,No seq,cpu-benchmark-test-zsh2,22,1st fastest,500000,
i7-9700T,Ubuntu 24.04 (AMD),zsh 5.9,Optiplex,No seq,cpu-benchmark-test-zsh2,287,,500000,
BCM2712,Debian GNU/Linux 12 (bookworm),zsh 5.9,Pi5,No seq,cpu-benchmark-test-zsh2,97,,500000,
BCM2711,Debian GNU/Linux 11 (bullseye),zsh 5.8,Pi4,No seq,cpu-benchmark-test-zsh2,408,,500000,
,,,,,,,,,
I7 2-core 3.3 GHz,MacOS 11.2.3,bash 3.2.57,mbp 2016,"No seq, parallelised",cpu-benchmark-test-parr,139,,500000,
M1,??????,??????,??????,??????,??????,??????,,500000,
M1 max,MacOS 26.1,bash 3.2.57,mbp,"No seq, parallelised",cpu-benchmark-test-parr,43,3rd fastest,500000,
M5,MacOS 26.1,bash 3.2.57,mbp,"No seq, parallelised",cpu-benchmark-test-parr,35/49*,2nd fastest,500000,
M5,Ubuntu 25.10 (ARM),bash 5.2.37,VMWare Fusion 13.6.4,"No seq, parallelised",cpu-benchmark-test-parr,25,1st fastest,500000,
i7-9700T,Ubuntu 24.04 (AMD),bash 5.2.21,Optiplex,"No seq, parallelised",cpu-benchmark-test-parr,86,,500000,
BCM2712,Debian GNU/Linux 12 (bookworm),bash 5.2.15,Pi5,"No seq, parallelised",cpu-benchmark-test-parr,78,,500000,
BCM2711,Debian GNU/Linux 11 (bullseye),bash 5.1.4,Pi4,"No seq, parallelised",cpu-benchmark-test-parr,225,,500000,
,,,,,,,,,
,,,,,,,,,
Conclusions,,,,,,,,,
1,"VMWare Fusion 13 running Ubuntu 25.10 (ARM) VM on M5 host is clearly the winner. Also Pi5, another ARM based processor, punches well above its weight.",,,,,,,,
2,Bash and Zsh versions don't seem to make any appreciable difference.,,,,,,,,
3,Macbook Pro's do much better after eliminating seq (external command); conversely Pi5 appears better at handling seq.,,,,,,,,
